"","city","avgRating"
"7139","Edroy",0.906
"7140","Bellmead",NA
"7141","Hull",NA
"7142","Del Rio",NA
"7143","Simonton",0.88
"7144","Aquilla",NA
"7145","El Lago",0.887
"7146","Florey",NA
"7147","Jollyville",0.897
"7148","Manvel",0.888
"7149","Lost Creek",0.897
"7150","Alleyton",NA
"7151","Paducah",NA
"7152","Pecan Gap",NA
"7153","Ector",NA
"7154","Lexington",NA
"7155","Ellinger",NA
"7156","Sam Rayburn",NA
"7157","Coffee City",NA
"7158","Northfield",NA
"7159","Santa Rosa Colonia",NA
"7160","Midway",NA
"7161","Villa",NA
"7162","Mauriceville",NA
"7163","Union Grove",0.94
"7164","Boys Ranch",NA
"7165","La Paloma Addition Colonia",0.907
"7166","Allen",0.908
"7167","Cross Timber",0.907
"7168","San Juan",0.899
"7169","Piney Point Village",0.916
"7170","Long Mott",NA
"7171","Highland Village",0.915
"7172","McFaddin",NA
"7173","Patricia",NA
"7174","Del Sol Colonia",0.902
"7175","Seminole",NA
"7176","Vidaurri",NA
"7177","Clear Springs",0.919
"7178","Tuscola",NA
"7179","Hempstead",NA
"7180","Blooming Grove",NA
"7181","Jonah",0.908
"7182","Seven Points",NA
"7183","Tarzan",NA
"7184","Tomball",0.88
"7185","Whitesboro",NA
"7186","Ballinger",NA
"7187","McLean",NA
"7188","Boden",NA
"7189","Gluck",NA
"7190","Bonham",NA
"7191","Menard",0.926666666666667
"7192","Lodi",NA
"7193","Democrat",NA
"7194","Huntoon",NA
"7195","Overton",NA
"7196","Sugar Land",0.886
"7197","Big Sandy",NA
"7198","Comal",0.917
"7199","Bonney",0.909
"7200","Ramireno",NA
"7201","Abernathy",NA
"7202","Moulton",NA
"7203","Saint Francis",0.868
"7204","Norias",NA
"7205","Leon Valley",NA
"7206","Hubbard",NA
"7207","Arcola",0.888
"7208","Bluff Dale",NA
"7209","Riverside",NA
"7210","Sansom Park",0.921
"7211","Klondike",NA
"7212","Arno",NA
"7213","Winona",NA
"7214","San Elizario",0.913
"7215","Leary",NA
"7216","Lawn",NA
"7217","Banquete",0.897
"7218","Port Arthur",NA
"7219","Newsome",NA
"7220","Dominion",NA
"7221","Byers",NA
"7222","Yantis",NA
"7223","Wild Peach Village",NA
"7224","McLeod",NA
"7225","Goodrich",NA
"7226","Marshall",0.85
"7227","Reagan",NA
"7228","Arroyo Colorado Estates Colonia",NA
"7229","Diboll",NA
"7230","Dripping Springs",0.9
"7231","Meadowlakes",NA
"7232","Kinwood",0.915
"7233","Ravenna",NA
"7234","San Leanna",0.897
"7235","Millett",NA
"7236","Texon",NA
"7237","Coughran",NA
"7238","Peters",NA
"7239","Roane",NA
"7240","Chandler",NA
"7241","Rios",NA
"7242","Oak Hill",0.897
"7243","Toco",NA
"7244","Mingus",NA
"7245","Amarillo",NA
"7246","Witco",0.86
"7247","Plano",0.906
"7248","Tuleta",NA
"7249","Silver",NA
"7250","Mesquite",0.906
"7251","Falls City",NA
"7252","Leroy",NA
"7253","Lorena",NA
"7254","Holliday",NA
"7255","Maypearl",0.857
"7256","Nesbitt",0.878
"7257","Millsap",NA
"7258","Port Aransas",NA
"7259","Quanah",NA
"7260","Canyon Valley",NA
"7261","Burris",NA
"7262","Valley Mills",NA
"7263","Reno",NA
"7264","Carlton",NA
"7265","Siesta Acres",NA
"7266","Richland",NA
"7267","Bloomburg",NA
"7268","Lesley",NA
"7269","Winnsboro",NA
"7270","Graford",NA
"7271","Santa Rosa",NA
"7272","Thompsonville",1
"7273","Megargel",NA
"7274","Royston",NA
"7275","Retta",0.906
"7276","Santa Clara",0.917
"7277","Prosper",NA
"7278","Ransom Canyon",NA
"7279","Log Cabin",NA
"7280","Hideaway",NA
"7281","Margaret",NA
"7282","Marysville",NA
"7283","Newcastle",NA
"7284","Gause",NA
"7285","Crane",1
"7286","Sulphur Bluff",NA
"7287","Hitchcock",0.878
"7288","Saratoga",NA
"7289","Wellman",NA
"7290","El Cenizo Colonia",NA
"7291","Plainview",0.88
"7292","Double Bayou",NA
"7293","Sandia",NA
"7294","Elmo",NA
"7295","Belmont",NA
"7296","Augustus",NA
"7297","Troy",NA
"7298","London",NA
"7299","Corral City",0.916
"7300","Sharp",NA
"7301","Laguna Park",NA
"7302","El Cenizo",NA
"7303","Perry",NA
"7304","Arcade",NA
"7305","West",NA
"7306","Colorado City",0.934285714285714
"7307","Jolly",NA
"7308","Mart",NA
"7309","Rancho Banquete",0.917
"7310","Alfred",NA
"7311","Baytown",0.888
"7312","Hearne",NA
"7313","Lake Tanglewood",NA
"7314","Rollingwood",0.897
"7315","Chillicothe",NA
"7316","Douglass",NA
"7317","Pledger",NA
"7318","Zephyr",NA
"7319","Woodrow",NA
"7320","Lissie",NA
"7321","Waka",0.986666666666667
"7322","North Richland Hills",0.918
"7323","Eagle Pass",NA
"7324","Black",NA
"7325","Tulsita",NA
"7326","Chisholm",0.916
"7327","Kitalou",NA
"7328","Sonora",NA
"7329","Orchard",0.88
"7330","Giddings",NA
"7331","Seabrook",0.887
"7332","Indian Hills",0.906
"7333","Jamaica Beach",NA
"7334","Clear Lake Shores",0.887
"7335","Olin",NA
"7336","Gardendale",NA
"7337","New Caney",0.874
"7338","Leigh",0.847
"7339","Radium",NA
"7340","Thelma",NA
"7341","Celina",NA
"7342","Refugio",NA
"7343","Amherst",NA
"7344","Holiday Lakes",NA
"7345","Cedar Lake",NA
"7346","Fort Chadbourne",NA
"7347","Satsuma",0.886
"7348","Quail Creek",NA
"7349","Lajitas",NA
"7350","Ady",NA
"7351","Cross Plains",NA
"7352","North Cowden",NA
"7353","Garciasville",NA
"7354","Bridge City",NA
"7355","Lockett",NA
"7356","Hargill",NA
"7357","Wheeler",NA
"7358","Cibolo",NA
"7359","Gladewater",NA
"7360","Santa Cruz",NA
"7361","Sunnyside",NA
"7362","Bartlett",NA
"7363","Combes",NA
"7364","Porter Heights",0.879
"7365","Hawk Cove",NA
"7366","Comfort",NA
"7367","Las Lomas",NA
"7368","Lindale",NA
"7369","Big Wells",NA
"7370","Capps Switch",NA
"7371","Balch Springs",0.908
"7372","Tunis",NA
"7373","McGregor",NA
"7374","Lake Creek",NA
"7375","Morgans Point Resort",NA
"7376","Bushland",NA
"7377","Pecan Acres",0.926
"7378","Powderly",NA
"7379","Strawn",NA
"7380","North Pearsall",NA
"7381","Abell",NA
"7382","Devers",NA
"7383","Berea",NA
"7384","Vigo Park",0.8
"7385","Cushing",NA
"7386","Leesville",NA
"7387","Lancaster",0.908
"7388","Streetman",NA
"7389","Louise",NA
"7390","Clifton",NA
"7391","Lake Brownwood",NA
"7392","Shoreacres",0.887
"7393","Estes",NA
"7394","Gatesville",NA
"7395","Pearsall",NA
"7396","Oyster Creek",NA
"7397","Garland",0.906
"7398","Gilmer",NA
"7399","Taylor Lake Village",0.915
"7400","Watson",NA
"7401","Saint Paul",0.909
"7402","Panhandle",NA
"7403","Ross",NA
"7404","Quitman",NA
"7405","Pattonville",NA
"7406","Maysfield",NA
"7407","Robstown",0.895
"7408","Omaha",NA
"7409","Iowa Colony",0.913
"7410","Roscoe",0.9425
"7411","Sunset Acres Colonia",NA
"7412","Yorktown",NA
"7413","McCaulley",NA
"7414","Stephenville",NA
"7415","Weldon",NA
"7416","Christoval",NA
"7417","New Berlin",0.917
"7418","Bleakwood",NA
"7419","Enloe",NA
"7420","Yancey",NA
"7421","Wake Village",NA
"7422","Twitty",NA
"7423","Langtry",NA
"7424","Cleo",NA
"7425","Hoban",NA
"7426","Melvin",NA
"7427","Farnsworth",0.89
"7428","La Porte",0.888
"7429","Van",NA
"7430","Leander",0.9
"7431","Sabinal",NA
"7432","The Woodlands",0.874
"7433","Siesta Shores",NA
"7434","Vincent",NA
"7435","Murillo Colonia",NA
"7436","Latexo",NA
"7437","Nederland",NA
"7438","Rowlett",0.906
"7439","Buford",0.934285714285714
"7440","Harper",NA
"7441","Riesel",NA
"7442","Calliham",NA
"7443","Edgecliff Village",0.917
"7444","Kennedale",0.911
"7445","Del Valle",0.897
"7446","Angus",NA
"7447","Carta Valley",0.6
"7448","DeCordova",0.922
"7449","Mineral Wells",NA
"7450","Tanglewood Forest",0.897
"7451","Elmdale",NA
"7452","Sebastian",NA
"7453","Todd Mission",NA
"7454","Joshua",0.901
"7455","Laredo Ranchettes",NA
"7456","Laneville",NA
"7457","La Victoria",NA
"7458","Beaumont",NA
"7459","Hermleigh",0.934285714285714
"7460","Magnolia Beach",NA
"7461","Catarina",NA
"7462","Vair",NA
"7463","New Ulm",NA
"7464","Impact",NA
"7465","Santa Monica",NA
"7466","Roby",NA
"7467","Bivins",0.821
"7468","Cundiff",NA
"7469","Ranchos Penitas West",NA
"7470","Buda",0.897
"7471","Isla",0.916
"7472","Circle",NA
"7473","Viboras",NA
"7474","Uvalde Estates",NA
"7475","Nordheim",NA
"7476","Godley",0.906
"7477","Crockett",NA
"7478","Caps",NA
"7479","Buckingham",0.906
"7480","Dalworthington Gardens",0.913
"7481","Redwater",NA
"7482","Chapman Ranch",0.897
"7483","Percilla",NA
"7484","Jones Creek",NA
"7485","Town West",0.889
"7486","Sylvester",NA
"7487","Skidmore",NA
"7488","Eagle Lake",NA
"7489","Old Ocean",NA
"7490","Seven Oaks",NA
"7491","Neuville",NA
"7492","Llano Grande",0.906
"7493","Lyons",NA
"7494","Belfalls",NA
"7495","Neylandville",NA
"7496","Browndell",NA
"7497","Keenan",NA
"7498","Cone",NA
"7499","Morris Ranch",NA
"7500","Flomot",0.764
"7501","Bon Wier",NA
"7502","Northlake",0.919
"7503","Rose Hill Acres",NA
"7504","Machovec",0.915555555555555
"7505","Mount Pleasant",NA
"7506","Sand Springs",NA
"7507","Krum",0.897
"7508","Canton",NA
"7509","Richmond",0.879
"7510","Guadalupe",NA
"7511","Camp San Saba",0.906666666666667
"7512","Columbus",NA
"7513","El Paso",0.911
"7514","Benchley",NA
"7515","Guthrie",NA
"7516","Sudan",NA
"7517","Callisburg",NA
"7518","Avoca",NA
"7519","Humble",0.888
"7520","Oilton",NA
"7521","Edcouch",NA
"7522","Green Valley Farms",NA
"7523","Neches",NA
"7524","Prairie View",NA
"7525","Pottsville",NA
"7526","Butterfield",0.903
"7527","Skellytown",NA
"7528","Chunky",NA
"7529","Sundown",NA
"7530","Palmhurst",NA
"7531","Hedwig Village",0.916
"7532","Mustang",NA
"7533","Honey Grove",NA
"7534","Gallatin",NA
"7535","Denton",0.909
"7536","Wastella",0.934285714285714
"7537","Coolidge",NA
"7538","Bonita",NA
"7539","De Kalb",NA
"7540","Matagorda",NA
"7541","Alamo Alto",NA
"7542","Riomedina",NA
"7543","Odem",0.911
"7544","Orange Grove",0.924285714285714
"7545","Coleman",NA
"7546","Harlingen",NA
"7547","Lake Kiowa",NA
"7548","Port O'Connor",NA
"7549","Tye",NA
"7550","La Presa",NA
"7551","Stacy",NA
"7552","Roganville",NA
"7553","Barrett",0.89
"7554","Plum Grove",NA
"7555","Bracken",NA
"7556","Bacliff",0.891
"7557","Caddo Mills",NA
"7558","Sunray",0.925714285714286
"7559","Gilchrist",NA
"7560","Burkburnett",NA
"7561","Tehuacana",NA
"7562","Salado",NA
"7563","Aiken",0.877142857142857
"7564","High Island",NA
"7565","Southland",NA
"7566","Ben Bolt",NA
"7567","Huntsville",NA
"7568","Bulverde",NA
"7569","Marathon",NA
"7570","Chalk Mountain",NA
"7571","Silsbee",NA
"7572","Chappell Hill",NA
"7573","Goodlett",NA
"7574","Grapevine",0.914
"7575","McKinney Acres",NA
"7576","La Paloma",NA
"7577","Dallardsville",NA
"7578","Trinity",NA
"7579","Benjamin",NA
"7580","Tioga",NA
"7581","Wildwood",NA
"7582","Nassau Bay",0.915
"7583","Las Lomitas",0.95
"7584","Tynan",NA
"7585","Marietta",NA
"7586","Argo",NA
"7587","Old River-Winfree",NA
"7588","Girvin",NA
"7589","Moody",NA
"7590","Cookville",NA
"7591","Forest Hill",0.906
"7592","Edinburg",NA
"7593","Buchanan Lake Village",NA
"7594","Roxton",NA
"7595","Era",NA
"7596","Lantana",0.916
"7597","Seaton",NA
"7598","Hutchins",0.908
"7599","Stoneham",NA
"7600","Petronila",NA
"7601","Newton",NA
"7602","Telephone",NA
"7603","New Willard",NA
"7604","Morgan Farm Colonia",0.908
"7605","Quail",NA
"7606","Quinlan",NA
"7607","North Cleveland",NA
"7608","Sublett",0.911
"7609","Amaya Colonia",1
"7610","Jefferson",NA
"7611","Morales",NA
"7612","Goodlow Park",NA
"7613","Quemado",NA
"7614","Flat",NA
"7615","Funston",NA
"7616","Bettie",NA
"7617","Dorchester",NA
"7618","McNary",NA
"7619","Lakeview",NA
"7620","Dobbin",NA
"7621","Buffalo Springs",NA
"7622","Beaumont Place",0.916
"7623","Olmito",NA
"7624","Cool",NA
"7625","Highland Park",0.906
"7626","Jewett",NA
"7627","Littig",0.897
"7628","Littlefield",NA
"7629","Pilot Point",NA
"7630","Doolittle",NA
"7631","Bautista",0.945714285714286
"7632","Maryneal",NA
"7633","Cross Mountain",NA
"7634","Huckabay",NA
"7635","Evant",NA
"7636","Belding",NA
"7637","Josephine",NA
"7638","Boston",NA
"7639","Bartonville",0.916
"7640","Inadale",0.934285714285714
"7641","Hico",NA
"7642","Pullman",NA
"7643","Hidalgo",NA
"7644","Cross Roads",NA
"7645","Ponder",0.91
"7646","Kemah",0.887
"7647","South Alamo",0.908
"7648","Mendoza",0.902
"7649","Windthorst",NA
"7650","Helotes",NA
"7651","Speaks",NA
"7652","Quitaque",0.973333333333333
"7653","Ben Hur",NA
"7654","Cuero",NA
"7655","Elkhart",NA
"7656","Selma",NA
"7657","San Ygnacio",NA
"7658","Emhouse",NA
"7659","Matthews",NA
"7660","Narcisso",NA
"7661","Justin",0.923
"7662","Milano",NA
"7663","Hallettsville",NA
"7664","Seven Sisters",0.92
"7665","Breslau",NA
"7666","Algoa",0.915
"7667","Marquez",NA
"7668","Muniz",NA
"7669","Woodville",NA
"7670","Ore City",NA
"7671","Bernecker",NA
"7672","Cloverleaf",0.916
"7673","Lyford",NA
"7674","Wildorado",NA
"7675","Eidson Road",NA
"7676","Garceno",NA
"7677","Spofford",NA
"7678","Streeter",NA
"7679","Payne Springs",NA
"7680","Golinda",NA
"7681","Rockwall",0.909
"7682","Windom",NA
"7683","Redfield",NA
"7684","South Fork Estates",1
"7685","Four Corners",0.889
"7686","Midlothian",0.909
"7687","Becton",NA
"7688","Odessa",NA
"7689","Gruene",0.921
"7690","Cayuga",NA
"7691","Price",NA
"7692","Emerson",1
"7693","Montalba",NA
"7694","Greatwood",0.886
"7695","Falfurrias",NA
"7696","Macdona",NA
"7697","North Roby",NA
"7698","Gorman",NA
"7699","Van Vleck",NA
"7700","Heath",0.91
"7701","Magnet",NA
"7702","Vega",NA
"7703","Scenic Oaks",NA
"7704","Hunters Creek Village",0.916
"7705","Brachfield",NA
"7706","Eliasville",NA
"7707","La Joya",NA
"7708","Longfellow",1
"7709","Sweetwater",NA
"7710","Cost",NA
"7711","Gober",NA
"7712","Sheffield",NA
"7713","Robinson",NA
"7714","Cockrell Hill",0.914
"7715","Marble Falls",NA
"7716","Magasco",NA
"7717","Hammond",NA
"7718","Goldthwaite",NA
"7719","Fowlerton",NA
"7720","Beckville",NA
"7721","Bixby",NA
"7722","Clarksville",NA
"7723","Toyah",NA
"7724","Poteet",NA
"7725","Alvarado",0.914
"7726","Jersey Village",0.886
"7727","Cottonwood Shores",NA
"7728","Palestine",NA
"7729","Blue Berry Hill",NA
"7730","Kirkland",NA
"7731","Henderson",NA
"7732","Bronson",NA
"7733","Bolivar Peninsula",NA
"7734","Dunn",0.934285714285714
"7735","Johnfarris",0.911428571428571
"7736","Valley Spring",NA
"7737","Purdon",NA
"7738","Knippa",NA
"7739","Toyahvale",NA
"7740","Delmita",NA
"7741","Granger",NA
"7742","Rivera Colonia",NA
"7743","Woodloch",NA
"7744","Glenn Heights",0.908
"7745","Lasara",NA
"7746","Bedford",0.914
"7747","Justiceburg",NA
"7748","Artesia Wells",NA
"7749","Johntown",NA
"7750","Woodland",NA
"7751","Dublin",NA
"7752","Chamberlin",NA
"7753","Poynor",NA
"7754","Navarro",NA
"7755","Krugerville",NA
"7756","Sunny Side",NA
"7757","Douro",NA
"7758","Oak Grove",NA
"7759","Keene",0.898
"7760","El Indio",NA
"7761","Fort Clark Springs",NA
"7762","Westlake",0.917
"7763","Marion",0.917
"7764","Itasca",NA
"7765","McCoy",NA
"7766","Pritchett",NA
"7767","Rochester",0.81
"7768","Morse",NA
"7769","Tanglewood",NA
"7770","Westover Hills",0.919
"7771","Vineyard",NA
"7772","Cranell",NA
"7773","Olmos Park",NA
"7774","Winnie",NA
"7775","Shiro",NA
"7776","Mertens",NA
"7777","Sanderson",1
"7778","Glen Flora",NA
"7779","Blair",NA
"7780","Morgans Point",0.887
"7781","East Mountain",NA
"7782","Tundra",NA
"7783","De Berry",NA
"7784","Shepton",0.906
"7785","Progreso Lakes",0.903
"7786","Richards",NA
"7787","Rocky Mound",NA
"7788","Rock Island",NA
"7789","Cargray",NA
"7790","Bridgeport",NA
"7791","Round Rock",0.897
"7792","Midfield",NA
"7793","Palmview",NA
"7794","Lutie",NA
"7795","San Pedro",0.895
"7796","Bellevue",NA
"7797","Leona",NA
"7798","Austonio",NA
"7799","Fulton",NA
"7800","Meadow",NA
"7801","Weinert",0.895
"7802","Hornsby Bend",0.897
"7803","Briscoe",NA
"7804","Needmore",NA
"7805","Cuyler",NA
"7806","Dawson",NA
"7807","Hart",NA
"7808","Graham",NA
"7809","Ingleside On-the-Bay",NA
"7810","Madisonville",NA
"7811","Flatonia",NA
"7812","Arvana",NA
"7813","Pelican Bay",0.913
"7814","La Villa",NA
"7815","Willis",NA
"7816","Bellaire",0.916
"7817","Dallas",0.906
"7818","Lakeway",0.9
"7819","Clyde",NA
"7820","Maydelle",NA
"7821","Buena Vista Colonia",NA
"7822","Harwood",NA
"7823","Snook",NA
"7824","Edom",NA
"7825","Concan",NA
"7826","Hedley",NA
"7827","Morning Glory",0.913
"7828","McBride",0.864
"7829","Potosi",NA
"7830","Ranchitos Las Lomas",NA
"7831","Princeton",NA
"7832","Cienegas Terrace",NA
"7833","Corinth",0.906
"7834","Jacinto City",0.916
"7835","Kingsland",NA
"7836","Donna",0.908
"7837","Sumner",NA
"7838","Myra",NA
"7839","Fischer",NA
"7840","Ringgold",NA
"7841","Tuxedo",NA
"7842","Ganado",0.843333333333333
"7843","Garner",NA
"7844","Booth",0.886
"7845","New Falcon",NA
"7846","Pleak",0.895
"7847","La Pryor",NA
"7848","Italy",0.86
"7849","Cumby",NA
"7850","Hamlin",NA
"7851","Rochelle",0.91
"7852","Woodbine",NA
"7853","Viola",0.905
"7854","Ira",NA
"7855","Iatan",NA
"7856","Thalia",NA
"7857","Laguna Seca",0.906
"7858","Grays Prairie",NA
"7859","Edgewater Estates",NA
"7860","Kingsmill",NA
"7861","Blossom",NA
"7862","Edgewood",NA
"7863","Barksdale",NA
"7864","Berclair",NA
"7865","Driftwood",0.899
"7866","Mountain Home",NA
"7867","Lueders",NA
"7868","Carls Corner",NA
"7869","Glendale",NA
"7870","Fentress",NA
"7871","Big Lake",0.93
"7872","Deanville",NA
"7873","Kennard",NA
"7874","Carlsbad",NA
"7875","Val Verde Park",NA
"7876","Roanoke",0.917
"7877","Albany",NA
"7878","Paisano Park Colonia",NA
"7879","Dermott",NA
"7880","Rockwood",0.905714285714286
"7881","West Sharyland",NA
"7882","Tyler",NA
"7883","Marsh",NA
"7884","Batson",NA
"7885","Whitsett",NA
"7886","La Blanca",NA
"7887","Cleta",NA
"7888","Seth Ward",0.88
"7889","Douglassville",NA
"7890","Casa Piedra",NA
"7891","Kopperl",NA
"7892","Live Oak",NA
"7893","Buchanan Dam",NA
"7894","Little River",NA
"7895","Tivoli",NA
"7896","Farwell",NA
"7897","Murchison",NA
"7898","University Park",0.906
"7899","String Prairie",NA
"7900","Darco",0.909
"7901","Baldridge",NA
"7902","Lavon",0.909
"7903","Knox City",0.66
"7904","Hitchland",0.904
"7905","Scottsville",0.857
"7906","Corsicana",NA
"7907","Petrolia",NA
"7908","Cason",NA
"7909","Plains",NA
"7910","Airport Road Addition",NA
"7911","Breckenridge",NA
"7912","Charco",NA
"7913","Coldspring",NA
"7914","Cleburne",0.93
"7915","Bee Cave",0.897
"7916","Oak Point",0.906
"7917","Burke",NA
"7918","Sterley",0.877142857142857
"7919","Clairette",NA
"7920","Frost",NA
"7921","Moscow",NA
"7922","Seguin",0.913
"7923","Togo",NA
"7924","New Fairview",0.911
"7925","Winters",NA
"7926","Lynchburg",0.89
"7927","Brady",0.903333333333333
"7928","Slaton",NA
"7929","Yznaga",NA
"7930","Riviera",NA
"7931","Tiki Island",NA
"7932","Tennyson",NA
"7933","Mentone",NA
"7934","La Casita",NA
"7935","Pueblo Nuevo",NA
"7936","Loop",NA
"7937","Branton",NA
"7938","Singleton",NA
"7939","Alvin",0.913
"7940","Camp Swift",0.902
"7941","Glenn",NA
"7942","Agua Dulce",NA
"7943","Red Oak",0.91
"7944","Sandow",NA
"7945","San Benito",NA
"7946","Kirvin",NA
"7947","Bluetown",NA
"7948","Hawkins",NA
"7949","Fabens",0.912
"7950","Ware",NA
"7951","Midland",NA
"7952","Carthage",NA
"7953","Henly",0.9
"7954","Altair",NA
"7955","Joaquin",NA
"7956","Savoy",NA
"7957","Donie",NA
"7958","Wills Point",NA
"7959","South Mountain",NA
"7960","Dialville",NA
"7961","Idalou",NA
"7962","Owl Ranch",NA
"7963","Coupland",0.905
"7964","Panorama Village",NA
"7965","Anthony",0.91
"7966","Friona",NA
"7967","Spraberry",NA
"7968","Warda",NA
"7969","Como",NA
"7970","Caddo",NA
"7971","The Hills",0.9
"7972","Bryan",NA
"7973","Water Valley",NA
"7974","Niederwald",0.904
"7975","Voca",0.906666666666667
"7976","Lane City",NA
"7977","Lozano",NA
"7978","Franklin",NA
"7979","Flo",NA
"7980","Howe",NA
"7981","Bayview",NA
"7982","Terrell",0.911
"7983","Alvord",NA
"7984","Conlen",NA
"7985","Austin",0.897
"7986","Smith Point",0.861
"7987","Mumford",NA
"7988","Stoneburg",NA
"7989","Preston",NA
"7990","Bennett",NA
"7991","Helena",NA
"7992","Leon Junction",NA
"7993","Parnell",NA
"7994","Scissors",NA
"7995","Florence",NA
"7996","Needville",0.835
"7997","Opdyke",NA
"7998","Wylie",0.909
"7999","Brookshire",NA
"8000","Bustamante",NA
"8001","Magoun",NA
"8002","Lakeside City",NA
"8003","Eldorado",NA
"8004","Tascosa",NA
"8005","Texas City",0.872
"8006","Los Villareales",NA
"8007","Salineño",NA
"8008","Falcon Heights",NA
"8009","Jermyn",NA
"8010","Hewitt",NA
"8011","Curtis",NA
"8012","Manor",0.897
"8013","Kendleton",0.881
"8014","May",NA
"8015","Universal City",NA
"8016","Pidcoke",NA
"8017","Los Fresnos",NA
"8018","Nickel Creek Station",NA
"8019","Hillcrest",0.915
"8020","Andrews",NA
"8021","Mont Belvieu",0.827
"8022","Cash",NA
"8023","Waples",0.921
"8024","Mission Bend",0.886
"8025","Luella",NA
"8026","Derby",NA
"8027","Teague",NA
"8028","César Chávez",NA
"8029","Comanche",NA
"8030","Taft",0.907
"8031","Gruhlkey",NA
"8032","Edna",NA
"8033","Hooks",NA
"8034","Stamford",NA
"8035","Rotan",NA
"8036","Mercury",0.893333333333333
"8037","Brackettville",NA
"8038","Progreso",0.906
"8039","Sierra Blanca",1
"8040","Brad",NA
"8041","Kingwood",0.887
"8042","Beeville",NA
"8043","Benonine",NA
"8044","Crandall",0.913
"8045","Salt Flat",NA
"8046","Cameron Park Colonia",NA
"8047","Lark",NA
"8048","Progress",0.832
"8049","Pollok",NA
"8050","Brookesmith",0.904
"8051","Guy",NA
"8052","Highbank",NA
"8053","Dodge",NA
"8054","Lindberg",0.911
"8055","Sabine",NA
"8056","Wells Branch",0.897
"8057","Lake City",NA
"8058","Weir",0.908
"8059","Seadrift",NA
"8060","Glass",NA
"8061","Cedar Park",0.9
"8062","Orla",0.6
"8063","Smyer",NA
"8064","Hale Center",NA
"8065","Robert Lee",NA
"8066","Bayside Terrace",0.887
"8067","Cego",NA
"8068","Holland",NA
"8069","Canadian",NA
"8070","Hudson Oaks",0.908
"8071","La Homa",NA
"8072","Barnhart",NA
"8073","Chico",NA
"8074","La Ward",0.78
"8075","Charlotte",NA
"8076","Center Point",NA
"8077","Manning",NA
"8078","Goodnight",NA
"8079","Iola",NA
"8080","Seco Mines",NA
"8081","The Grove",NA
"8082","Hebbronville",0.95
"8083","Turkey",0.706666666666667
"8084","Waelder",NA
"8085","South Plains",0.911428571428571
"8086","Schertz",NA
"8087","Shady Shores",0.906
"8088","Johnsons Station",0.913
"8089","Somerset",NA
"8090","Fannett",NA
"8091","Hext",0.915
"8092","Stephen Creek",NA
"8093","Fronton",NA
"8094","Grit",NA
"8095","Boyd",0.912
"8096","San Diego",NA
"8097","Tucker",NA
"8098","Linn",NA
"8099","Wallis",0.882
"8100","Pumpville",NA
"8101","Scallorn",NA
"8102","Noonday",NA
"8103","Moonshine Hill",0.888
"8104","Pecan Hill",0.91
"8105","Vance",NA
"8106","Highlands",0.89
"8107","Cunningham",NA
"8108","Kerrville",NA
"8109","Thompsons",0.886
"8110","Baird",NA
"8111","Green",NA
"8112","Los Ebanos Colonia",NA
"8113","Clay",NA
"8114","Penitas",NA
"8115","Mildred",NA
"8116","Sachse",0.906
"8117","Grandview",0.858
"8118","Sealy",NA
"8119","Sherwood Shores",NA
"8120","McKibben",NA
"8121","Nocona",NA
"8122","Trumbull",0.907
"8123","Moffat",NA
"8124","Saint Hedwig",NA
"8125","Kermit",NA
"8126","Bastrop",0.902
"8127","Runaway Bay",NA
"8128","River Oaks",0.921
"8129","Maud",NA
"8130","Sandy Oaks",NA
"8131","Emory",NA
"8132","Sullivan City",NA
"8133","Magnolia",NA
"8134","Umbarger",NA
"8135","Katemcy",0.906666666666667
"8136","Everman",0.907
"8137","Chriesman",NA
"8138","Ranchette Estates",NA
"8139","Tolbert",NA
"8140","Dale",0.9
"8141","Bledsoe",0.6
"8142","Amargosa Colonia",0.910769230769231
"8143","Lago Vista",0.9
"8144","Vanderbilt",NA
"8145","Liberty City",NA
"8146","Myrtle Springs",NA
"8147","Kelsay",NA
"8148","Lenz",NA
"8149","Memphis",NA
"8150","Lowry Crossing",0.911
"8151","Eastland",NA
"8152","Hudson Bend",0.9
"8153","Ridgeway",NA
"8154","Briaroaks",0.907
"8155","Garden Acres",0.917
"8156","Grapeland",NA
"8157","Red Rock",0.9
"8158","Zuehl",NA
"8159","Seagoville",0.909
"8160","Nash",NA
"8161","Albion",NA
"8162","Bryden",0.893333333333333
"8163","Weesatche",NA
"8164","Pioneer",NA
"8165","Brazoria",NA
"8166","Trawick",NA
"8167","Villa Verde",0.909
"8168","Laureles",NA
"8169","Marfa",NA
"8170","Buckeye",NA
"8171","Wilmer",0.908
"8172","Whitehouse",NA
"8173","Shawville",NA
"8174","Rio Hondo",NA
"8175","Weslaco",0.909
"8176","Encino",NA
"8177","Doffing",NA
"8178","Sun Valley",NA
"8179","Dodson",NA
"8180","Monahans",NA
"8181","Bedias",NA
"8182","Dodd City",NA
"8183","Red Lick",NA
"8184","Violet",0.895
"8185","La Reforma",NA
"8186","Phelps",NA
"8187","Barton Creek",0.897
"8188","White Settlement",0.909
"8189","Blumenthal",NA
"8190","Clayton",NA
"8191","Missouri City",0.888
"8192","Palacios",NA
"8193","Stafford",0.916
"8194","Woodlake",NA
"8195","Little Cypress",NA
"8196","Joel",NA
"8197","Ryan",NA
"8198","Mertzon",NA
"8199","Summerfield",NA
"8200","Segno",NA
"8201","Stagecoach",NA
"8202","Presidio",NA
